eventId,name,description,type,peoplecount,agerecommended,daysleft,location
163,Event163,description163,competition|dance,425,47,31,Kottayam
164,Event164,description164,competition|online,427,28,15,Ooty
165,Event165,description165,entertainment,178,19,39,Mandya
166,Event166,description166,sports|outdoor|infotainment,343,28,23,Ooty
167,Event167,description167,technology|sports,220,3,36,Tiruppur
168,Event168,description168,sports,389,37,11,Hosur
169,Event169,description169,music|technology,367,3,6,Tiruppur
170,Event170,description170,dance,247,38,7,Kollam
171,Event171,description171,music|entertainment,477,23,25,Mysore
172,Event172,description172,infotainment,85,34,36,Thiruvananthapuram
173,Event173,description173,freeentry|dance|music,261,10,38,Nizamabad
174,Event174,description174,freeentry|sports,128,10,11,Hassan
175,Event175,description175,technology|food,158,29,28,Davangere
176,Event176,description176,entertainment|food|competition,372,27,7,Kadapa
177,Event177,description177,sports|entertainment,19,17,39,Mysore
178,Event178,description178,outdoor,298,43,11,Chikkamagaluru
179,Event179,description179,dance|online|freeentry,428,42,36,Hyderabad
180,Event180,description180,freeentry|infotainment|dance,360,3,15,Shimoga
181,Event181,description181,technology|sports|online,70,33,35,Kakinada
182,Event182,description182,infotainment|sports|food,489,14,16,Kollam
183,Event183,description183,freeentry|competition,462,27,25,Kadapa
184,Event184,description184,outdoor|dance|music,21,44,28,Kasargod
185,Event185,description185,online|entertainment|freeentry,176,33,15,Palakkad
186,Event186,description186,infotainment,372,17,30,Gulbarga
187,Event187,description187,outdoor|online|food,324,15,5,Belgaum
188,Event188,description188,music|online,154,37,40,Karur
189,Event189,description189,dance,197,45,5,Warangal
190,Event190,description190,food|entertainment,275,1,30,Chennai
191,Event191,description191,dance|food|online,493,28,34,Davangere
192,Event192,description192,food,45,22,13,Vijayawada
193,Event193,description193,food|sports,316,24,15,Mangalore
194,Event194,description194,online|dance|infotainment,350,16,21,Guntur
195,Event195,description195,competition|outdoor,184,23,13,Gulbarga
196,Event196,description196,online|technology,396,33,30,Kottayam
197,Event197,description197,technology|competition,279,2,7,Visakhapatnam
198,Event198,description198,sports|infotainment|online,463,6,22,Palakkad
199,Event199,description199,entertainment,254,31,5,Bangalore
200,Event200,description200,online|food,145,14,14,Alappuzha
201,Event201,description201,outdoor,378,4,9,Mysore
202,Event202,description202,sports|music|food,303,1,4,Coimbatore
203,Event203,description203,freeentry|entertainment,313,10,3,Coimbatore
204,Event204,description204,music|dance,121,16,28,Kochi
205,Event205,description205,outdoor|infotainment|sports,108,30,31,Madurai
206,Event206,description206,outdoor|competition|freeentry,342,45,13,Alappuzha
207,Event207,description207,outdoor|entertainment,460,22,27,Kochi
208,Event208,description208,outdoor|food,108,8,31,Anantapur
209,Event209,description209,outdoor|dance|entertainment,389,50,33,Tiruchirappalli
210,Event210,description210,music|sports|dance,148,50,23,Vijayawada
211,Event211,description211,competition,288,24,13,Kochi
212,Event212,description212,competition|infotainment|technology,85,8,5,Kurnool
213,Event213,description213,technology|entertainment|outdoor,165,40,6,Mysore
214,Event214,description214,freeentry,188,34,29,Chennai
215,Event215,description215,dance|technology|food,30,29,38,Thiruvananthapuram
216,Event216,description216,infotainment|sports|online,143,10,37,Bellary
217,Event217,description217,freeentry|competition,385,3,12,Kochi
218,Event218,description218,sports,48,30,38,Warangal
219,Event219,description219,music|freeentry|technology,25,37,1,Bangalore
220,Event220,description220,sports|outdoor|dance,132,32,9,Nizamabad
221,Event221,description221,competition|infotainment|freeentry,177,47,11,Belgaum
222,Event222,description222,technology|entertainment|freeentry,321,21,37,Warangal
223,Event223,description223,technology|competition|food,261,18,5,Thanjavur
224,Event224,description224,dance|freeentry|outdoor,324,37,10,Karur
225,Event225,description225,technology,395,7,34,Bellary
226,Event226,description226,competition|dance|music,396,18,26,Nizamabad
227,Event227,description227,technology,264,21,26,Hosur
228,Event228,description228,sports,283,24,8,Karur
229,Event229,description229,food|entertainment|online,36,30,15,Tiruppur
230,Event230,description230,outdoor|entertainment,243,38,8,Karaikudi
231,Event231,description231,music|competition,415,40,6,Mangalore
232,Event232,description232,sports|music,418,34,35,Shimoga
233,Event233,description233,music|infotainment|entertainment,280,13,20,Kottayam
234,Event234,description234,outdoor,355,31,10,Tiruchirappalli
235,Event235,description235,food|music|freeentry,13,6,38,Kottayam
236,Event236,description236,food|online,89,11,40,Thrissur
237,Event237,description237,online,409,8,36,Chikkamagaluru
238,Event238,description238,competition,467,30,15,Ooty
239,Event239,description239,infotainment,125,1,18,Coimbatore
240,Event240,description240,music|sports,314,48,38,Madurai
241,Event241,description241,technology|online|outdoor,72,44,30,Rajahmundry
242,Event242,description242,infotainment|food,358,36,17,Mandya
243,Event243,description243,food|freeentry,411,19,3,Nellore
244,Event244,description244,infotainment|freeentry|online,302,49,30,Kollam
245,Event245,description245,infotainment,190,5,36,Tumkur
246,Event246,description246,entertainment,279,1,36,Shimoga
247,Event247,description247,competition|infotainment,233,35,32,Mandya
248,Event248,description248,competition,39,18,34,Hyderabad
249,Event249,description249,outdoor|online|dance,361,41,11,Nellore
250,Event250,description250,music,162,40,3,Kochi
251,Event251,description251,outdoor|freeentry,210,22,11,Nellore
252,Event252,description252,competition,343,42,29,Bellary
253,Event253,description253,outdoor,369,16,3,Mandya
254,Event254,description254,dance,221,46,1,Mandya
255,Event255,description255,technology,262,39,19,Chittoor
256,Event256,description256,technology,296,47,16,Davangere
257,Event257,description257,food|outdoor,81,15,26,Mangalore
258,Event258,description258,dance,85,6,34,Mysore
259,Event259,description259,sports,138,19,8,Kozhikode
260,Event260,description260,infotainment|outdoor|competition,313,14,6,Hassan
261,Event261,description261,technology,383,38,10,Chikkamagaluru
262,Event262,description262,infotainment|competition,291,36,3,Bangalore
263,Event263,description263,sports|outdoor,158,12,39,Kollam
264,Event264,description264,music|technology|food,213,13,30,Kochi
265,Event265,description265,music|dance|online,448,29,6,Hyderabad
266,Event266,description266,online|competition,33,21,5,Tiruppur
267,Event267,description267,food,44,13,7,Kadapa
268,Event268,description268,sports,343,14,8,Vijayawada
269,Event269,description269,sports,404,35,19,Kottayam
270,Event270,description270,freeentry|dance|technology,391,4,19,Chittoor
271,Event271,description271,freeentry|music|competition,415,46,5,Gulbarga
272,Event272,description272,food|entertainment,337,22,15,Alappuzha
273,Event273,description273,music|dance|infotainment,73,49,7,Kozhikode
274,Event274,description274,freeentry,498,40,2,Rajahmundry
275,Event275,description275,competition|infotainment,139,16,38,Nizamabad
276,Event276,description276,entertainment|food|competition,95,23,35,Nellore
277,Event277,description277,freeentry|music|outdoor,17,45,37,Thrissur
278,Event278,description278,dance,123,45,12,Bangalore
279,Event279,description279,technology|competition|music,149,25,8,Kurnool
280,Event280,description280,music|food|technology,134,4,14,Hassan
281,Event281,description281,outdoor|freeentry,356,45,21,Tiruppur
282,Event282,description282,competition|sports,309,43,22,Gulbarga
283,Event283,description283,freeentry|entertainment|outdoor,402,10,24,Coimbatore
284,Event284,description284,infotainment|technology,420,20,8,Davangere
285,Event285,description285,entertainment|sports|food,137,41,8,Guntur
286,Event286,description286,online,319,50,6,Chittoor
287,Event287,description287,technology|dance,253,41,30,Mysore
288,Event288,description288,entertainment|food,335,50,14,Kannur
289,Event289,description289,entertainment|infotainment,456,31,19,Mangalore
290,Event290,description290,online,13,21,23,Shimoga
291,Event291,description291,food|competition|infotainment,455,17,34,Nizamabad
292,Event292,description292,entertainment|technology|music,469,16,39,Thiruvananthapuram
293,Event293,description293,food|music,22,50,23,Belgaum
294,Event294,description294,freeentry|technology,184,9,15,Chennai
295,Event295,description295,online|sports|outdoor,408,1,4,Coimbatore
296,Event296,description296,dance,110,26,31,Mandya
297,Event297,description297,technology|sports|online,215,7,39,Kurnool
298,Event298,description298,competition|sports|music,314,42,33,Chittoor
299,Event299,description299,sports|music|entertainment,347,20,15,Chikkamagaluru
300,Event300,description300,music,116,14,4,Nellore

301,Event301,description301,outdoor|online|sports,75,1,4,Kannur
302,Event302,description302,infotainment|technology,80,32,21,Coimbatore
303,Event303,description303,food|dance,134,19,37,Hassan
304,Event304,description304,food|outdoor,153,20,12,Gulbarga
305,Event305,description305,food|entertainment|freeentry,395,16,3,Kannur
306,Event306,description306,infotainment|entertainment|outdoor,355,30,39,Kadapa
307,Event307,description307,infotainment,393,28,22,Hyderabad
308,Event308,description308,food,297,35,35,Thanjavur
309,Event309,description309,technology|entertainment|outdoor,22,31,17,Davangere
310,Event310,description310,outdoor|dance,483,35,33,Hyderabad
311,Event311,description311,online,467,44,9,Warangal
312,Event312,description312,infotainment|online|dance,461,50,4,Madurai
313,Event313,description313,technology,476,15,15,Tiruppur
314,Event314,description314,infotainment|dance|entertainment,123,33,39,Ooty
315,Event315,description315,sports|food|dance,303,17,22,Guntur
316,Event316,description316,food|music|entertainment,319,1,28,Kolar
317,Event317,description317,entertainment|online|infotainment,434,46,17,Chennai
318,Event318,description318,infotainment|sports,86,9,22,Rajahmundry
319,Event319,description319,freeentry|competition,120,23,26,Salem
320,Event320,description320,sports,424,45,26,Karur
321,Event321,description321,freeentry,278,17,14,Kakinada
322,Event322,description322,food|online|outdoor,230,23,24,Gulbarga
323,Event323,description323,food,282,23,5,Belgaum
324,Event324,description324,technology,132,39,10,Thiruvananthapuram
325,Event325,description325,music,388,6,37,Thiruvananthapuram
326,Event326,description326,entertainment|sports,155,39,17,Kurnool
327,Event327,description327,outdoor|music,473,30,17,Tiruppur
328,Event328,description328,competition,39,22,24,Ooty
329,Event329,description329,competition|infotainment,83,33,23,Hyderabad
330,Event330,description330,sports|infotainment,236,32,15,Hyderabad
331,Event331,description331,outdoor|freeentry|food,379,48,21,Anantapur
332,Event332,description332,food,305,43,19,Tiruchirappalli
333,Event333,description333,competition,352,20,37,Bangalore
334,Event334,description334,music,239,34,28,Pathanamthitta
335,Event335,description335,competition|technology|music,279,30,11,Anantapur
336,Event336,description336,entertainment,114,12,16,Tiruchirappalli
337,Event337,description337,online|freeentry,390,17,38,Mangalore
338,Event338,description338,sports,31,48,13,Kottayam
339,Event339,description339,food|technology|outdoor,392,35,37,Kasargod
340,Event340,description340,competition|online,321,26,22,Chittoor
341,Event341,description341,online|technology|dance,487,39,29,Nizamabad
342,Event342,description342,online,205,38,34,Warangal
343,Event343,description343,online|outdoor|dance,143,28,17,Salem
344,Event344,description344,sports|dance,211,20,39,Thanjavur
345,Event345,description345,infotainment|entertainment|competition,395,30,11,Kasargod
346,Event346,description346,music,226,18,26,Kurnool
347,Event347,description347,freeentry|competition|technology,320,1,32,Guntur
348,Event348,description348,infotainment|competition|dance,128,43,34,Warangal
349,Event349,description349,dance|infotainment|sports,95,47,32,Guntur
350,Event350,description350,sports|outdoor|freeentry,245,19,21,Ooty
351,Event351,description351,online,199,12,28,Kottayam
352,Event352,description352,technology,174,19,22,Kakinada
353,Event353,description353,food,494,6,9,Hosur
354,Event354,description354,music|technology|freeentry,388,35,2,Mysore
355,Event355,description355,competition|infotainment|technology,318,3,9,Guntur
356,Event356,description356,online|freeentry,103,8,3,Hyderabad
357,Event357,description357,infotainment,441,11,10,Guntur
358,Event358,description358,dance|technology|sports,227,50,25,Mangalore
359,Event359,description359,online|infotainment,384,19,24,Visakhapatnam
360,Event360,description360,dance|technology,236,10,19,Kolar
361,Event361,description361,food|online|infotainment,336,32,30,Belgaum
362,Event362,description362,sports|competition|online,179,50,22,Alappuzha
363,Event363,description363,dance|entertainment|online,325,47,36,Karur
364,Event364,description364,competition|sports|entertainment,429,43,38,Belgaum
365,Event365,description365,infotainment,307,6,14,Warangal
366,Event366,description366,infotainment|freeentry,326,3,30,Mysore
367,Event367,description367,competition|entertainment,326,38,5,Visakhapatnam
368,Event368,description368,entertainment|sports|music,331,44,29,Kakinada
369,Event369,description369,dance|sports|outdoor,130,10,38,Shimoga
370,Event370,description370,music,430,6,18,Madurai
371,Event371,description371,technology|sports,361,11,16,Kolar
372,Event372,description372,technology,273,49,34,Madurai
373,Event373,description373,music|infotainment,305,47,26,Mangalore
374,Event374,description374,technology,26,32,12,Palakkad
375,Event375,description375,sports|dance|food,374,23,35,Kasargod
376,Event376,description376,food,358,8,38,Salem
377,Event377,description377,dance|sports,442,40,14,Davangere
378,Event378,description378,sports,115,23,19,Karur
379,Event379,description379,outdoor,342,16,27,Kottayam
380,Event380,description380,freeentry|infotainment|entertainment,441,44,16,Karaikudi
381,Event381,description381,music,293,36,3,Chikkamagaluru
382,Event382,description382,technology|freeentry|online,405,4,32,Kadapa
383,Event383,description383,online,130,15,25,Kottayam
384,Event384,description384,food|dance,63,18,24,Anantapur
385,Event385,description385,sports|technology|food,203,12,27,Belgaum
386,Event386,description386,sports,156,16,3,Chennai
387,Event387,description387,online|outdoor|music,484,2,13,Kakinada
388,Event388,description388,competition,195,11,37,Madurai
389,Event389,description389,outdoor|infotainment,470,44,40,Nellore
390,Event390,description390,music,33,45,18,Coimbatore
391,Event391,description391,food|technology,348,20,28,Pathanamthitta
392,Event392,description392,entertainment|outdoor,216,8,2,Hassan
393,Event393,description393,online|music|sports,179,49,4,Guntur
394,Event394,description394,technology|sports,463,45,6,Mandya
395,Event395,description395,dance|sports|online,198,36,24,Tumkur
396,Event396,description396,sports|outdoor,39,30,28,Ooty
397,Event397,description397,food|freeentry|entertainment,435,30,7,Thanjavur
398,Event398,description398,infotainment|entertainment,23,35,10,Kasargod
399,Event399,description399,entertainment|technology|competition,356,12,39,Hassan
400,Event400,description400,technology|entertainment,71,18,29,Kottayam
401,Event401,description401,online|technology,69,11,26,Madurai
402,Event402,description402,technology|music|entertainment,291,22,18,Nellore
403,Event403,description403,competition|outdoor,480,20,1,Kasargod
404,Event404,description404,dance,201,28,37,Kurnool
405,Event405,description405,food|infotainment|technology,216,11,13,Kottayam
406,Event406,description406,outdoor|online|competition,415,16,17,Coimbatore
407,Event407,description407,outdoor,480,49,18,Gulbarga
408,Event408,description408,online|sports,57,19,10,Thrissur
409,Event409,description409,outdoor|entertainment|technology,431,35,13,Visakhapatnam
410,Event410,description410,sports|freeentry|entertainment,184,14,39,Bangalore
411,Event411,description411,outdoor|online|music,227,45,3,Bellary
412,Event412,description412,dance|sports|outdoor,40,21,39,Madurai
413,Event413,description413,dance|infotainment,61,44,13,Mangalore
414,Event414,description414,competition,349,20,4,Vijayawada
415,Event415,description415,online|competition,365,7,12,Mangalore
416,Event416,description416,infotainment,440,30,30,Mysore
417,Event417,description417,music|technology|food,473,44,4,Tiruppur
418,Event418,description418,freeentry,217,35,33,Rajahmundry
419,Event419,description419,infotainment|food|online,56,48,17,Kottayam
420,Event420,description420,music|freeentry|outdoor,350,32,18,Kasargod
421,Event421,description421,freeentry|entertainment,500,35,7,Mysore
422,Event422,description422,food|outdoor|music,354,37,26,Kochi
423,Event423,description423,food|entertainment,497,23,27,Vijayawada
424,Event424,description424,outdoor,213,42,39,Kochi
425,Event425,description425,infotainment|competition,250,12,19,Nizamabad
426,Event426,description426,food,178,37,9,Hosur
427,Event427,description427,online|infotainment|entertainment,419,36,29,Kurnool
428,Event428,description428,freeentry,165,20,25,Chittoor
429,Event429,description429,outdoor|competition|entertainment,462,10,1,Nizamabad
430,Event430,description430,competition|freeentry|outdoor,375,9,8,Shimoga
431,Event431,description431,entertainment,322,17,4,Kadapa
432,Event432,description432,infotainment|dance,19,1,5,Bangalore
433,Event433,description433,outdoor|freeentry|technology,32,24,15,Bellary
434,Event434,description434,entertainment|music|technology,237,21,38,Bellary
435,Event435,description435,freeentry|technology|entertainment,119,26,17,Kottayam
436,Event436,description436,freeentry,408,27,11,Nizamabad
437,Event437,description437,music|dance|freeentry,328,21,8,Palakkad
438,Event438,description438,infotainment,483,39,31,Tiruppur
439,Event439,description439,dance|freeentry,444,27,17,Chennai
440,Event440,description440,dance,334,9,7,Tumkur
441,Event441,description441,competition|dance|outdoor,436,22,16,Kolar
442,Event442,description442,infotainment|music,432,17,27,Rajahmundry
443,Event443,description443,entertainment,146,32,25,Mysore
444,Event444,description444,dance,114,5,33,Belgaum
445,Event445,description445,technology,326,46,13,Hosur
446,Event446,description446,food|freeentry|dance,53,24,31,Bellary
447,Event447,description447,online|sports,441,41,18,Chennai
448,Event448,description448,competition,176,3,25,Kannur
449,Event449,description449,technology,418,28,19,Tumkur
450,Event450,description450,technology,253,49,22,Kochi
451,Event451,description451,competition|online|sports,83,3,32,Nellore
452,Event452,description452,outdoor,29,46,9,Kurnool
453,Event453,description453,food|outdoor,432,42,18,Rajahmundry
454,Event454,description454,food|freeentry|infotainment,200,41,4,Kurnool
455,Event455,description455,competition|food,84,34,34,Gulbarga
456,Event456,description456,outdoor|dance,404,25,38,Nellore
457,Event457,description457,dance|online,342,14,13,Kannur
458,Event458,description458,outdoor|music,391,31,10,Hyderabad
459,Event459,description459,dance|infotainment|music,72,27,34,Hyderabad
460,Event460,description460,online|technology|music,406,41,20,Tiruppur
461,Event461,description461,entertainment|competition|dance,287,10,12,Chikkamagaluru
462,Event462,description462,food|infotainment,288,47,14,Kadapa
463,Event463,description463,sports,246,41,37,Thrissur
464,Event464,description464,entertainment,73,48,39,Hassan
465,Event465,description465,dance|food|entertainment,255,9,13,Alappuzha
466,Event466,description466,infotainment|entertainment,203,37,10,Thiruvananthapuram
467,Event467,description467,food,151,12,6,Davangere
468,Event468,description468,food|online|music,134,15,4,Belgaum
469,Event469,description469,freeentry|sports,348,48,6,Hyderabad
470,Event470,description470,competition|technology|music,60,31,5,Kurnool
471,Event471,description471,technology|entertainment|music,97,34,11,Davangere
472,Event472,description472,outdoor,277,48,10,Warangal
473,Event473,description473,freeentry|technology|music,32,36,20,Kannur
474,Event474,description474,sports,321,32,2,Coimbatore
475,Event475,description475,freeentry,35,34,10,Kochi
476,Event476,description476,music,411,43,31,Kottayam
477,Event477,description477,infotainment,231,9,28,Tiruchirappalli
478,Event478,description478,dance|music,267,33,14,Ooty
479,Event479,description479,technology|food|entertainment,467,14,16,Nellore
480,Event480,description480,entertainment,86,42,35,Kozhikode
481,Event481,description481,music|competition|food,357,2,22,Bangalore
482,Event482,description482,entertainment,188,32,33,Thanjavur
483,Event483,description483,infotainment|competition,414,15,31,Kolar
484,Event484,description484,online,106,9,23,Tumkur
485,Event485,description485,infotainment|music|freeentry,176,15,26,Mangalore
486,Event486,description486,sports,465,31,1,Kadapa
487,Event487,description487,infotainment|dance|technology,71,29,11,Kadapa
488,Event488,description488,technology|freeentry|music,233,30,18,Kolar
489,Event489,description489,food|sports,41,6,27,Hosur
490,Event490,description490,music,207,12,3,Warangal
491,Event491,description491,dance,254,7,11,Palakkad
492,Event492,description492,technology|music|online,474,45,20,Guntur
493,Event493,description493,food|dance,20,39,12,Mangalore
